product_id,product_name,category,subcategory,brand,unit_cost,unit_price,updated_at
PR-00001,Enhanced empowering emulation,Furniture,Bookcases,Padilla-Morrow,147.8,358.64,2026-07-15T15:35:11.465389+00:00
PR-00002,Expanded 3rdgeneration approach,Technology,Copiers,Peters and Sons,353.34,684.36,2026-07-15T15:35:11.465541+00:00
PR-00003,Secured bandwidth-monitored encryption,Furniture,Tables,Wright-Mcclure,305.07,415.35,2026-07-15T15:35:11.465605+00:00
PR-00004,Versatile incremental throughput,Furniture,Bookcases,"Myers, Ponce and Smith",235.33,457.1,2026-07-15T15:35:11.465694+00:00
PR-00005,Grass-roots mission-critical standardization,Office Supplies,Binders,"Chavez, Allen and Barnes",101.06,180.46,2026-07-15T15:35:11.465787+00:00
PR-00006,Universal foreground firmware,Office Supplies,Binders,West-Moore,236.69,421.79,2026-07-15T15:35:11.465851+00:00
PR-00007,Progressive object-oriented definition,Office Supplies,Storage,Adams PLC,166.17,290.93,2026-07-15T15:35:11.465895+00:00
PR-00008,Integrated asynchronous Local Area Network,Office Supplies,Binders,Hall-Bonilla,233.76,371.18,2026-07-15T15:35:11.465968+00:00
PR-00009,Horizontal attitude-oriented secured line,Furniture,Chairs,Holder-Williams,273.73,628.49,2026-07-15T15:35:11.466035+00:00
PR-00010,Compatible well-modulated portal,Furniture,Tables,Johnson LLC,237.88,326.16,2026-07-15T15:35:11.466073+00:00
PR-00011,User-centric local flexibility,Technology,Phones,Mcmillan Ltd,230.42,404.05,2026-07-15T15:35:11.466110+00:00
PR-00012,Synergized 24hour application,Furniture,Chairs,Dickerson-Callahan,276.33,421.68,2026-07-15T15:35:11.466178+00:00
PR-00013,Re-engineered transitional secured line,Office Supplies,Storage,Romero PLC,281.18,501.63,2026-07-15T15:35:11.466216+00:00
PR-00014,Integrated contextually-based secured line,Technology,Accessories,"Wells, Grimes and Acevedo",203.93,394.84,2026-07-15T15:35:11.466313+00:00
PR-00015,Pre-emptive global help-desk,Technology,Phones,Shaw-Hunt,74.14,115.5,2026-07-15T15:35:11.466379+00:00
PR-00016,Devolved didactic Internet solution,Office Supplies,Paper,Dawson-Stone,302.36,424.99,2026-07-15T15:35:11.466445+00:00
PR-00017,Cross-group 4thgeneration access,Furniture,Bookcases,Wright-Stone,229.76,477.95,2026-07-15T15:35:11.466511+00:00
PR-00018,Switchable bifurcated extranet,Furniture,Bookcases,Rios PLC,262.28,644.25,2026-07-15T15:35:11.466547+00:00
PR-00019,Reverse-engineered 24hour interface,Technology,Phones,"Rogers, Owens and Marshall",86.49,179.08,2026-07-15T15:35:11.466643+00:00
PR-00020,Cross-group systemic projection,Furniture,Tables,"Holder, Roberts and Wells",232.32,561.41,2026-07-15T15:35:11.466740+00:00
PR-00021,Vision-oriented hybrid interface,Office Supplies,Paper,Sanders-Barnett,216.78,397.22,2026-07-15T15:35:11.466806+00:00
PR-00022,Vision-oriented hybrid access,Office Supplies,Binders,Welch Ltd,370.3,676.4,2026-07-15T15:35:11.466844+00:00
PR-00023,Ergonomic asymmetric open system,Furniture,Chairs,Hughes-Bell,284.12,549.79,2026-07-15T15:35:11.466905+00:00
PR-00024,Virtual 4thgeneration architecture,Technology,Phones,Wong-Maddox,200.7,279.39,2026-07-15T15:35:11.466967+00:00
PR-00025,Seamless fresh-thinking conglomeration,Technology,Accessories,"Marshall, Mann and Wilson",185.91,226.56,2026-07-15T15:35:11.467068+00:00
PR-00026,Centralized intermediate forecast,Technology,Copiers,"Ryan, Thomas and Bowen",191.06,415.75,2026-07-15T15:35:11.467153+00:00
PR-00027,Inverse exuding implementation,Furniture,Tables,Murphy and Sons,179.69,249.23,2026-07-15T15:35:11.467187+00:00
PR-00028,Profit-focused local approach,Office Supplies,Binders,Strickland PLC,75.63,129.97,2026-07-15T15:35:11.467229+00:00
PR-00029,Self-enabling needs-based knowledgebase,Office Supplies,Paper,"Warner, Gamble and Cox",54.13,78.31,2026-07-15T15:35:11.467326+00:00
PR-00030,Fundamental impactful focus group,Office Supplies,Paper,Flores PLC,45.02,55.83,2026-07-15T15:35:11.467363+00:00
PR-00031,Realigned secondary time-frame,Office Supplies,Paper,"Adkins, Vazquez and Todd",172.35,256.38,2026-07-15T15:35:11.467459+00:00
PR-00032,Re-contextualized regional function,Technology,Accessories,Bates Inc,256.35,562.61,2026-07-15T15:35:11.467492+00:00
PR-00033,Realigned well-modulated flexibility,Office Supplies,Binders,Pruitt-Nash,81.81,178.02,2026-07-15T15:35:11.467550+00:00
PR-00034,Enterprise-wide directional process improvement,Office Supplies,Binders,"Coleman, Benson and Trujillo",285.82,450.37,2026-07-15T15:35:11.467637+00:00
PR-00035,Future-proofed object-oriented migration,Technology,Accessories,"Castro, Walton and Sanchez",81.23,167.26,2026-07-15T15:35:11.467726+00:00
PR-00036,Customizable encompassing definition,Furniture,Bookcases,"Henry, Smith and Taylor",182.91,385.53,2026-07-15T15:35:11.467819+00:00
PR-00037,Diverse next generation initiative,Furniture,Bookcases,Salazar-Malone,36.91,59.79,2026-07-15T15:35:11.467884+00:00
PR-00038,Self-enabling motivating Graphical User Interface,Furniture,Tables,Thomas Inc,175.79,369.43,2026-07-15T15:35:11.467918+00:00
PR-00039,Operative system-worthy infrastructure,Furniture,Bookcases,Hickman Ltd,262.58,479.89,2026-07-15T15:35:11.467950+00:00
PR-00040,Profit-focused multi-state utilization,Technology,Phones,Hamilton PLC,257.02,393.22,2026-07-15T15:35:11.467983+00:00
PR-00041,Open-architected disintermediate frame,Technology,Copiers,Barber-Nelson,79.32,109.21,2026-07-15T15:35:11.468047+00:00
PR-00042,Self-enabling encompassing ability,Technology,Phones,Aguilar-Yates,340.28,509.43,2026-07-15T15:35:11.468112+00:00
PR-00043,Innovative web-enabled challenge,Furniture,Chairs,Anderson LLC,216.23,524.43,2026-07-15T15:35:11.468148+00:00
PR-00044,Re-engineered responsive info-mediaries,Furniture,Bookcases,"Cortez, Lynch and Mcbride",166.48,394.28,2026-07-15T15:35:11.468241+00:00
PR-00045,Configurable uniform middleware,Furniture,Bookcases,"Moore, Sanders and Martin",292.69,453.16,2026-07-15T15:35:11.468335+00:00
PR-00046,Profound intermediate benchmark,Furniture,Chairs,Bailey LLC,308.06,410.57,2026-07-15T15:35:11.468371+00:00
PR-00047,Assimilated cohesive focus group,Office Supplies,Binders,"Chapman, Trevino and Walker",192.25,299.36,2026-07-15T15:35:11.468458+00:00
PR-00048,Pre-emptive needs-based extranet,Office Supplies,Paper,Byrd-Dunlap,53.37,94.38,2026-07-15T15:35:11.468521+00:00
PR-00049,Compatible 4thgeneration superstructure,Technology,Accessories,"Price, Downs and Manning",266.2,472.84,2026-07-15T15:35:11.468615+00:00
PR-00050,Ergonomic non-volatile ability,Technology,Copiers,Wood LLC,97.8,144.82,2026-07-15T15:35:11.468650+00:00
PR-00051,Reduced asynchronous open system,Office Supplies,Binders,Andrade and Sons,329.04,585.34,2026-07-15T15:35:11.468686+00:00
PR-00052,Decentralized object-oriented pricing structure,Office Supplies,Binders,"Miller, Cooper and Martin",333.15,618.3,2026-07-15T15:35:11.468779+00:00
PR-00053,Phased holistic software,Furniture,Bookcases,"Cook, Holland and Reed",278.43,458.43,2026-07-15T15:35:11.468873+00:00
PR-00054,Customizable reciprocal knowledgebase,Office Supplies,Binders,"Martinez, Maldonado and Wright",84.47,162.03,2026-07-15T15:35:11.468961+00:00
PR-00055,Business-focused well-modulated protocol,Office Supplies,Binders,Gray-Becker,373.04,576.26,2026-07-15T15:35:11.469024+00:00
PR-00056,Optional client-server portal,Office Supplies,Paper,Lewis-Williams,105.68,213.34,2026-07-15T15:35:11.469089+00:00
